"","lhs","op","rhs","block","group","est","se","z","pvalue","ci.lower","ci.upper"
"1","IQ","=~","reading_n_total_Norm",1,1,1,0,NA,NA,1,1
"2","IQ","=~","sums_n_total_Norm",1,1,1.1847056403026,0.0679345613966233,17.4389238106053,0,1.05155634665969,1.31785493394551
"3","IQ","=~","digit_span_n_correct_Norm",1,1,0.735203891415009,0.063599262195944,11.5599437167983,0,0.610551628067639,0.859856154762379
"4","IQ","=~","dot_matrix_n_correct_Norm",1,1,0.876436592654704,0.0677343417714825,12.939323978545,0,0.743679722266071,1.00919346304334
"5","IQ","=~","cancellation_marked_intertime_Norm",1,1,-0.824063745421099,0.0688233737889698,-11.9736028627119,0,-0.958955079342018,-0.68917241150018
"6","IQ","=~","ans_IRT_ScoreNorm",1,1,0.821670620194942,0.0667861731729733,12.3030049658161,0,0.690772126110659,0.952569114279225
"7","IQ","=~","cattell_IRT_ScoreNorm",1,1,0.922538263613371,0.0706503033468685,13.0578103689665,0,0.784066213556679,1.06101031367006
"8","reading_n_total_Norm","~~","reading_n_total_Norm",1,1,0.442927140119443,0.0340967908765925,12.9902881981633,0,0.376098658012928,0.509755622225958
"9","sums_n_total_Norm","~~","sums_n_total_Norm",1,1,0.325755173025247,0.0322217032113575,10.109806141794,0,0.262601795210447,0.388908550840046
"10","digit_span_n_correct_Norm","~~","digit_span_n_correct_Norm",1,1,0.644370936703045,0.0431326257275893,14.939293071854,0,0.559832543718325,0.728909329687766
"11","dot_matrix_n_correct_Norm","~~","dot_matrix_n_correct_Norm",1,1,0.611446464935995,0.0426785943033289,14.3267714159063,0,0.527797957190674,0.695094972681316
"12","cancellation_marked_intertime_Norm","~~","cancellation_marked_intertime_Norm",1,1,0.715739850558512,0.048560796759411,14.7390466862511,0,0.620562437849497,0.810917263267527
"13","ans_IRT_ScoreNorm","~~","ans_IRT_ScoreNorm",1,1,0.609498733320391,0.0425291413345704,14.3313199889355,0,0.526143148011219,0.692854318629562
"14","cattell_IRT_ScoreNorm","~~","cattell_IRT_ScoreNorm",1,1,0.60700207376614,0.0442479243848627,13.7182044628018,0,0.520277735581157,0.693726411951122
"15","IQ","~~","IQ",1,1,0.507600269934044,0.0559667010661746,9.06968358442033,0,0.397907551510822,0.617292988357265
"16","reading_n_total_Norm","~1","",1,1,0.00389902532831932,0.0427955530897894,0.0911081887442549,0.927406626030042,-0.0799787174261398,0.0877767680827784
"17","sums_n_total_Norm","~1","",1,1,-0.0149675423180234,0.0447253680848771,-0.334654424522989,0.737885784853501,-0.10262765295968,0.0726925683236329
"18","digit_span_n_correct_Norm","~1","",1,1,-0.076887784188162,0.0421048693285262,-1.82610195481762,0.0678349058262395,-0.159411811645839,0.00563624326951453
"19","dot_matrix_n_correct_Norm","~1","",1,1,-0.0257998512055731,0.0439540882538092,-0.586972730650082,0.557222021259863,-0.111948281156334,0.060348578745188
"20","cancellation_marked_intertime_Norm","~1","",1,1,-0.0295332533972592,0.0453618754094929,-0.651058915237856,0.515008456376477,-0.118440895471058,0.0593743886765399
"21","ans_IRT_ScoreNorm","~1","",1,1,-0.0702203579092341,0.0432798376535051,-1.62247276598892,0.104702159772155,-0.155047280966845,0.0146065651483765
"22","cattell_IRT_ScoreNorm","~1","",1,1,-0.0518453267684224,0.0454148595977149,-1.1415939018125,0.253622860013143,-0.140856815942887,0.0371661624060421
"23","IQ","~1","",1,1,0,0,NA,NA,0,0
"24","IQ","=~","reading_n_total_Norm",2,2,1,0,NA,NA,1,1
"25","IQ","=~","sums_n_total_Norm",2,2,0.728619790491756,0.138875041168374,5.24658559494767,1.54943879282499e-07,0.456429711450226,1.00080986953329
"26","IQ","=~","digit_span_n_correct_Norm",2,2,0.409604062456935,0.114739508714231,3.56986069617129,0.000357171113062327,0.184718757773224,0.634489367140647
