"","lhs","op","rhs","block","group","label","est","se","z","pvalue","ci.lower","ci.upper"
"1","IQ","=~","reading_n_total_Norm",1,1,"",1,0,NA,NA,1,1
"2","IQ","=~","sums_n_total_Norm",1,1,".p2.",1.14162228162821,0.0624614036921854,18.2772434518796,0,1.01920017996771,1.26404438328871
"3","IQ","=~","digit_span_n_correct_Norm",1,1,".p3.",0.713780643966467,0.0590999128718236,12.07752447139,0,0.597946943248237,0.829614344684696
"4","IQ","=~","dot_matrix_n_correct_Norm",1,1,".p4.",0.825862504502049,0.0626339705094677,13.1855365033455,0,0.703102178094749,0.94862283090935
"5","IQ","=~","cancellation_marked_intertime_Norm",1,1,".p5.",-0.791949073136022,0.0637484227002912,-12.423037929257,0,-0.916893685699829,-0.667004460572216
"6","IQ","=~","ans_IRT_ScoreNorm",1,1,".p6.",0.783866796855605,0.061799708132023,12.6839886554323,0,0.662741594661753,0.904991999049457
"7","IQ","=~","cattell_IRT_ScoreNorm",1,1,".p7.",0.891369535253891,0.0660532115868877,13.4947190884332,0,0.761907619480387,1.02083145102739
"8","reading_n_total_Norm","~~","reading_n_total_Norm",1,1,"",0.43581376889342,0.0338436842309385,12.8772554997135,0,0.369481366696635,0.502146171090206
"9","sums_n_total_Norm","~~","sums_n_total_Norm",1,1,"",0.327577663892622,0.0321285263171259,10.1958508977117,0,0.264606909434707,0.390548418350536
"10","digit_span_n_correct_Norm","~~","digit_span_n_correct_Norm",1,1,"",0.644811524355815,0.043202868440706,14.9252016736062,0,0.560135458183209,0.729487590528421
"11","dot_matrix_n_correct_Norm","~~","dot_matrix_n_correct_Norm",1,1,"",0.616246512951695,0.0428594145236837,14.3783231712408,0,0.532243604086802,0.700249421816588
"12","cancellation_marked_intertime_Norm","~~","cancellation_marked_intertime_Norm",1,1,"",0.717045120478113,0.048590049778583,14.7570361369369,0,0.621810372905082,0.812279868051144
"13","ans_IRT_ScoreNorm","~~","ans_IRT_ScoreNorm",1,1,"",0.612057439374302,0.0425943998142435,14.3694345276261,0,0.528573949795285,0.695540928953318
"14","cattell_IRT_ScoreNorm","~~","cattell_IRT_ScoreNorm",1,1,"",0.608982263968833,0.0443753937581582,13.7234222030283,0,0.52200809040306,0.695956437534607
"15","IQ","~~","IQ",1,1,"",0.541135545814851,0.0570371846817859,9.48741682875619,0,0.42934471805899,0.652926373570711
"16","reading_n_total_Norm","~1","",1,1,".p16.",0.00769415445477756,0.0425619846803587,0.180775274286686,0.856543971593636,-0.075725802629271,0.0911141115388261
"17","sums_n_total_Norm","~1","",1,1,".p17.",-0.036092043313715,0.0440747087786383,-0.818883307771456,0.412852994362403,-0.122476885148937,0.0502927985215074
"18","digit_span_n_correct_Norm","~1","",1,1,".p18.",-0.0468726761989775,0.0404607299256772,-1.15847332178828,0.246670932581021,-0.126174249641507,0.0324288972435517
"19","dot_matrix_n_correct_Norm","~1","",1,1,".p19.",-0.0196030097333854,0.0416790256847695,-0.470332725185292,0.638117320430567,-0.101292398986254,0.0620863795194827
"20","cancellation_marked_intertime_Norm","~1","",1,1,".p20.",-0.0225589151321367,0.0435329297508954,-0.518203467150582,0.604316315976439,-0.107881889585404,0.0627640593211304
"21","ans_IRT_ScoreNorm","~1","",1,1,".p21.",-0.0777376361780826,0.0413907243598351,-1.87814147687442,0.0603618135844142,-0.158861965217384,0.00338669286121879
"22","cattell_IRT_ScoreNorm","~1","",1,1,".p22.",-0.0225494955421069,0.0447132624123447,-0.504313358621788,0.614041191574793,-0.110185879501591,0.0650868884173773
"23","IQ","~1","",1,1,"",0,0,NA,NA,0,0
"24","IQ","=~","reading_n_total_Norm",2,2,"",1,0,NA,NA,1,1
"25","IQ","=~","sums_n_total_Norm",2,2,".p2.",1.14162228162821,0.0624614036921854,18.2772434518797,0,1.01920017996771,1.26404438328871
"26","IQ","=~","digit_span_n_correct_Norm",2,2,".p3.",0.713780643966467,0.0590999128718237,12.07752447139,0,0.597946943248237,0.829614344684696
"27","IQ","=~","dot_matrix_n_correct_Norm",2,2,".p4.",0.825862504502049,0.0626339705094677,13.1855365033455,0,0.703102178094749,0.94862283090935
"28","IQ","=~","cancellation_marked_intertime_Norm",2,2,".p5.",-0.791949073136022,0.0637484227002912,-12.423037929257,0,-0.916893685699829,-0.667004460572216
"29","IQ","=~","ans_IRT_ScoreNorm",2,2,".p6.",0.783866796855605,0.061799708132023,12.6839886554323,0,0.662741594661753,0.904991999049457
"30","IQ","=~","cattell_IRT_ScoreNorm",2,2,".p7.",0.891369535253891,0.0660532115868877,13.4947190884332,0,0.761907619480388,1.02083145102739
"31","reading_n_total_Norm","~~","reading_n_total_Norm",2,2,"",0.711348682324395,0.119330343689445,5.96117182211145,2.50435472359811e-09,0.477465506430296,0.945231858218493
"32","sums_n_total_Norm","~~","sums_n_total_Norm",2,2,"",0.350237220019213,0.0776614854441001,4.50979295614053,6.48909264588937e-06,0.198023505562895,0.502450934475531
"33","digit_span_n_correct_Norm","~~","digit_span_n_correct_Norm",2,2,"",0.781461048512875,0.119832238802044,6.52129223592162,6.97042423780658e-11,0.546594176274066,1.01632792075168
"34","dot_matrix_n_correct_Norm","~~","dot_matrix_n_correct_Norm",2,2,"",0.562380879766327,0.093458818882335,6.01741907817567,1.77219861008382e-09,0.379204960719299,0.745556798813356
"35","cancellation_marked_intertime_Norm","~~","cancellation_marked_intertime_Norm",2,2,"",0.998316112570564,0.151039857918555,6.60962031034804,3.85307341588259e-11,0.702283430820149,1.29434879432098
"36","ans_IRT_ScoreNorm","~~","ans_IRT_ScoreNorm",2,2,"",0.531249311147829,0.0990001337447692,5.36614740862305,8.04362112472035e-08,0.337212614543433,0.725286007752225
"37","cattell_IRT_ScoreNorm","~~","cattell_IRT_ScoreNorm",2,2,"",1.0267027829089,0.18832689282227,5.45170563546565,4.98889882738496e-08,0.65758885565692,1.39581671016089
"38","IQ","~~","IQ",2,2,"",0.328499549747677,0.0724151548549354,4.53633704720703,5.7239677924148e-06,0.186568454297113,0.470430645198242
"39","reading_n_total_Norm","~1","",2,2,".p16.",0.00769415445477767,0.0425619846803587,0.180775274286688,0.856543971593634,-0.0757258026292708,0.0911141115388262
"40","sums_n_total_Norm","~1","",2,2,".p17.",-0.0360920433137149,0.0440747087786383,-0.818883307771454,0.412852994362404,-0.122476885148937,0.0502927985215075
"41","digit_span_n_correct_Norm","~1","",2,2,".p18.",-0.0468726761989773,0.0404607299256772,-1.15847332178827,0.246670932581024,-0.126174249641507,0.0324288972435519
"42","dot_matrix_n_correct_Norm","~1","",2,2,".p19.",-0.0196030097333852,0.0416790256847695,-0.470332725185287,0.638117320430571,-0.101292398986253,0.0620863795194829
"43","cancellation_marked_intertime_Norm","~1","",2,2,".p20.",-0.0225589151321365,0.0435329297508954,-0.518203467150577,0.604316315976442,-0.107881889585404,0.0627640593211306
"44","ans_IRT_ScoreNorm","~1","",2,2,".p21.",-0.0777376361780825,0.0413907243598351,-1.87814147687442,0.0603618135844146,-0.158861965217384,0.00338669286121893
"45","cattell_IRT_ScoreNorm","~1","",2,2,".p22.",-0.0225494955421067,0.0447132624123448,-0.504313358621783,0.614041191574796,-0.110185879501591,0.0650868884173775
"46","IQ","~1","",2,2,"",0.0873870219625984,0.0766513748412559,1.14005811563819,0.254262090047318,-0.0628469120917427,0.237620956016939
